T;H;E;0;E;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;N;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;G;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;I;0;0;0;0;E;L;U;R;0;0;0;0;0
0;0;0;0;N;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;E;0;0;0;0;0;0;0;0;0;0;W;0;0
0;0;0;0;E;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;R;0;0;0;0;0;0;0;0;0;0;O;0;0
0;0;0;0;S;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;R;0;0
0;0;C;I;V;I;L;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;L;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;D;0;0
